timestamp,symbol,price,entropy,pressure,nrg,regime,symmetry,slope,ret_3s,ret_8s,ret_21s,ret_55s,ret_89s
1768938939150,STABLE,0.01721500,3.0757,5.0535,17.3990,Compression,0.5000,0.00000000,Some(-0.002904443799015394),Some(-0.12198663955852562),Some(-0.1190821957595102),Some(-0.08422887017136581),Some(-0.08422887017136581)
1768938939150,LOOM,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939150,TRB,19.99900000,3.3164,-31.4244,36.2460,Oscillatory,0.7895,-0.00014072,Some(0.015000750037502442),Some(0.0),Some(0.012500625031240192),Some(-0.042502125106280604),Some(-0.07250362518126773)
1768938939150,CELO,0.11437000,3.1464,22.1038,31.0377,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(-0.01311532744600955),Some(-0.0612048614147072),Some(-0.08306374049138573)
1768938939150,BERA,0.84174000,3.1102,52.6590,38.9148,Compression,0.5000,0.00000000,Some(0.02910637489010142),Some(0.02910637489010142),Some(0.11167343835389217),Some(0.20730867013567092),Some(0.3641266899517647)
1768938939150,SUSHI,0.30063500,3.5496,2.3795,13.5796,Oscillatory,0.6250,0.00000056,Some(0.0),Some(0.0332629268049259),Some(0.00997887804148885),Some(-0.03658921948542219),Some(-0.08980990237330733)
1768938939150,JTO,0.33585500,2.9414,-30.9118,32.0003,Compression,0.0313,0.00000313,Some(0.0),Some(-0.0029774753986124966),Some(-0.0029774753986124966),Some(-0.12356522904231118),Some(-0.1488737699304926)
1768938939150,MYRO,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939150,MEGA,0.18920000,2.1141,61.2589,27.4387,Compression,0.5000,0.00000000,Some(0.013213530655404338),Some(0.03171247357294107),Some(0.14799154334039652),Some(0.14006342494715393),Some(0.11363636363637461)
1768938939150,SPX,0.43457500,3.2617,23.0740,32.5965,Compression,0.5000,0.00000000,Some(0.006903296323988836),Some(0.0023010987746544297),Some(-0.05637691997930178),Some(-0.17603405626186863),Some(-0.1944428464591935)
1768938939150,DOOD,0.00480050,3.3187,12.4017,27.0596,Compression,0.5000,0.00000000,Some(0.020831163420479797),Some(0.020831163420479797),Some(-0.05207790855119046),Some(-0.05207790855119046),Some(-0.09374023539215005)
1768938939150,FET,0.23405000,3.2411,17.1826,29.5327,Oscillatory,1.0000,-0.00000382,Some(0.004272591326632021),Some(0.00213629566332194),Some(0.006408886989953961),Some(0.01281777397991978),Some(0.006408886989953961)
1768938939150,AR,3.56820000,2.9202,7.3619,19.4827,Oscillatory,1.0000,0.00000000,Some(0.004203800235403015),Some(0.0),Some(0.0336304018832988),Some(0.1555406087102725),Some(0.14012667451375743)
1768938939150,SUPER,0.18595000,3.3017,-3.5765,15.7762,Compression,0.1111,0.00000152,Some(0.0),Some(0.0),Some(0.0),Some(-0.07528905619791824),Some(-0.05646679214843869)
1768938939150,OX,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939150,PUMP,0.00246150,3.3397,-27.4072,35.1124,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(0.06093845216330551),Some(-0.04062563477554876),Some(0.04062563477554876)
